"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","Institute Type","State"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2394", "2507","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3639", "3639","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "49373", "64114","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "56305", "78378","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "11909", "14881","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "15239", "15239","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "23971", "57570","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "32420", "48614","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "5208", "11391","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "10628", "10628","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "10834", "10834","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "33187", "44281","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "51237", "53398","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "2172", "2172","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7091", "7381","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "9068", "9068","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "13842", "14857","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15329", "18897","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6048", "6803","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9438", "9438","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1048", "1568","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3021", "3021","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "8346", "16205","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "5952", "17071","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "277", "277","NIT","Punjab"
